ID,VID,PLID,Type,LinkID
1142,1344,119,2,29610
1143,1345,119,3,29610
1144,1346,119,1,107722
1145,1347,119,2,107722
1146,1348,119,3,107722
1147,1349,119,1,107722
1148,1350,119,2,107722
1149,1351,119,3,107722
1150,1352,119,1,25989
1151,1353,119,2,25989
1152,1354,119,3,25989
1153,1355,120,1,58242
1154,1356,120,2,58242
1155,1357,120,3,58242
1156,1358,120,1,58841
1157,1359,120,2,58841
1158,1360,120,3,58841
1159,1361,120,1,58841
1160,1362,120,2,58841
1161,1363,120,3,58841
1162,1364,120,1,58452
1163,1365,120,2,58452
1164,1366,120,3,58452
1165,1367,121,1,59687
1166,1368,121,2,59687
1167,1369,121,3,59687
1168,1370,121,1,58948
1169,1371,121,2,58948
1170,1372,121,3,58948
1171,1373,121,1,59611
1172,1374,121,2,59611
1173,1375,121,3,59611
1174,1376,121,1,59687
1175,1377,121,2,59687
1176,1378,121,3,59687
1177,1379,122,1,60693
1178,1380,122,2,60693
1179,1381,122,3,60693
1180,1382,122,1,60167
1181,1383,122,2,60167
1182,1384,122,3,60167
1183,1385,123,1,30231
1184,1386,123,2,30231
1185,1387,123,3,30231
1186,1388,123,1,106819
1187,1389,123,2,106819
1188,1390,123,3,106819
1189,1391,124,1,59182
1190,1392,124,2,59182
1191,1393,124,3,59182
1192,1394,124,1,72916
1193,1395,124,2,72916
1194,1396,124,3,72916
1195,1397,124,1,72916
1196,1398,124,2,72916
1197,1399,124,3,72916
1198,1400,124,1,59182
1199,1401,124,2,59182
1200,1402,124,3,59182
1201,1403,125,1,96125
1202,1404,125,2,96125
1203,1405,125,3,96125
1204,1406,125,1,96125
1205,1407,125,2,96125
1206,1408,125,3,96125
